respID,qID,profileID,altID,obsID,choice,time_sec_p1,ownhome,time_sec_p2,time_sec_p3,induction,heatingeff,carbon,oftencook,utility,yearOfBirth,gender,race,raceOther,education,income,zipcode,age_in_years,feedback,time_min_total,edu_level,Cooktop_Type,final_cost_price,Average_annual_usage_Cost,number_of_burners
583,1,217,1,4657,1,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Gas,500,50,5
583,1,89,2,4657,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Electric,1500,90,3
583,1,84,3,4657,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Induction,1100,90,3
583,2,4,1,4658,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Gas,700,50,3
583,2,158,2,4658,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Electric,1300,70,4
583,2,219,3,4658,1,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Induction,500,50,5
583,3,223,1,4659,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Gas,900,50,5
583,3,182,2,4659,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Electric,500,90,4
583,3,222,3,4659,1,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Induction,700,50,5
583,4,184,1,4660,1,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Gas,700,90,4
583,4,98,2,4660,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Electric,900,100,3
583,4,309,3,4660,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Induction,500,100,5
583,5,244,1,4661,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Gas,1100,60,5
583,5,260,2,4661,1,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Electric,900,70,5
583,5,63,3,4661,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Induction,900,80,3
583,6,271,1,4662,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Gas,500,80,5
583,6,77,2,4662,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Electric,700,90,3
583,6,258,3,4662,1,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Induction,700,70,5
583,7,148,1,4663,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Gas,700,70,4
583,7,260,2,4663,1,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Electric,900,70,5
583,7,195,3,4663,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Induction,1300,90,4
583,8,193,1,4664,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Gas,1300,90,4
583,8,110,2,4664,1,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Electric,500,50,4
583,8,270,3,4664,0,7,1,167,51,Yes,Concerned,Concerned,often,gas,1984,female,asian,NA,degree_bs,under10,47130,39,NA,3.75,high_edu,Induction,1500,70,5
529,1,214,1,4225,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Gas,1500,100,4
529,1,323,2,4225,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Electric,1500,100,5
529,1,6,3,4225,1,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Induction,700,50,3
529,2,16,1,4226,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Gas,1500,50,3
529,2,203,2,4226,1,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Electric,700,100,4
529,2,315,3,4226,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Induction,900,100,5
529,3,301,1,4227,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Gas,1300,90,5
529,3,98,2,4227,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Electric,900,100,3
529,3,30,3,4227,1,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Induction,1100,60,3
529,4,97,1,4228,1,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Gas,900,100,3
529,4,122,2,4228,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Electric,1300,50,4
529,4,207,3,4228,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Induction,900,100,4
529,5,67,1,4229,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Gas,1300,80,3
529,5,101,2,4229,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Electric,1100,100,3
529,5,204,3,4229,1,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Induction,700,100,4
529,6,25,1,4230,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Gas,900,60,3
529,6,191,2,4230,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Electric,1100,90,4
529,6,279,3,4230,1,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Induction,900,80,5
529,7,274,1,4231,1,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Gas,700,80,5
529,7,134,2,4231,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Electric,900,60,4
529,7,87,3,4231,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Induction,1300,90,3
529,8,82,1,4232,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Gas,1100,90,3
529,8,146,2,4232,1,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Electric,500,70,4
529,8,261,3,4232,0,13,1,235,0,Yes,Neutral,Neutral,often,"electricity, gas",1989,male,asian,NA,degree_bs,inc_20to50,19103,34,NA,4.133333333333334,high_edu,Induction,900,70,5
634,1,157,1,5065,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Gas,1300,70,4
634,1,296,2,5065,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Electric,900,90,5
634,1,303,3,5065,1,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Induction,1300,90,5
634,2,13,1,5066,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Gas,1300,50,3
634,2,284,2,5066,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Electric,1300,80,5
634,2,255,3,5066,1,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Induction,500,70,5
634,3,73,1,5067,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Gas,500,90,3
634,3,179,2,5067,1,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Electric,1500,80,4
634,3,216,3,5067,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Induction,1500,100,4
634,4,55,1,5068,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Gas,500,80,3
634,4,137,2,5068,1,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Electric,1100,60,4
634,4,186,3,5068,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Induction,700,90,4
634,5,310,1,5069,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Gas,700,100,5
634,5,32,2,5069,1,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Electric,1300,60,3
634,5,105,3,5069,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Induction,1300,100,3
634,6,283,1,5070,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Gas,1300,80,5
634,6,26,2,5070,1,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Electric,900,60,3
634,6,99,3,5070,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Induction,900,100,3
634,7,286,1,5071,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Gas,1500,80,5
634,7,152,2,5071,1,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Electric,900,70,4
634,7,213,3,5071,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Induction,1300,100,4
634,8,265,1,5072,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Gas,1300,70,5
634,8,281,2,5072,0,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Electric,1100,80,5
634,8,144,3,5072,1,973,1,246,61,Yes,Neutral,Neutral,sometimes,electricity,1993,female,"white, hispanic",NA,degree_bs,inc_20to50,28372,30,NA,21.333333333333332,high_edu,Induction,1500,60,4
699,1,277,1,5585,0,19,1,329,356,Yes,Concerned,Neutral,sometimes,electricity,1995,female,black,NA,degree_bs,inc_50to100,77067,28,Thank you,11.733333333333333,high_edu,Gas,900,80,5
699,1,320,2,5585,0,19,1,329,356,Yes,Concerned,Neutral,sometimes,electricity,1995,female,black,NA,degree_bs,inc_50to100,77067,28,Thank you,11.733333333333333,high_edu,Electric,1300,100,5
699,1,264,3,5585,1,19,1,329,356,Yes,Concerned,Neutral,sometimes,electricity,1995,female,black,NA,degree_bs,inc_50to100,77067,28,Thank you,11.733333333333333,high_edu,Induction,1100,70,5
699,2,94,1,5586,1,19,1,329,356,Yes,Concerned,Neutral,sometimes,electricity,1995,female,black,NA,degree_bs,inc_50to100,77067,28,Thank you,11.733333333333333,high_edu,Gas,700,100,3
